BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Slovenia"
"Country: Slovenia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:JP:4R:Q:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,-5,-,0,-4,-,-3,-4,-3,-4,-5,-3,-1,0,-4,-1,0,0,0,0,0,0,0,0,0,-1,8,0,-,-,-1,-,-,-68,-,-,-41,-17,-10,-28,-23,-20,-16,-12,10,15,-32,-27,-9,-2,18,-2,-2,-26,-28,-29,-29,-30,-29,-28.2,-31.7,-33,-15.4,-14.4,-14.3,-5.3,-5.4
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:GB:4R:F:C:A:A:TO1:A:SI,,,,,,,,,,,79,-,36,-,-,-,-,-,141,-,135,-,77,-,68,73,70,-,63,63,18,19,10,1,3,3,5,5,10,10,9,9,11,81,79,78,161,53,65,76,172,295,303,261,281,226,323,338,521,424,260,215,188,320,312,317,272,98,219,747,737,804,663,658,593,573,707,625,452,402,319,343,491,331,361,439,371,359
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:CH:4R:Q:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,\,-,-,\,-,\,\,\,\,\,\,\,\,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,119.622,99.53,37.757,51.991,48.477,34.793,50.029,27.146
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SI:Slovenia",Q:S:DE:4R:U:C:A:A:TO1:R:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,348,354,501,462,380,337,336,338
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:BE:4R:Q:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,-2,43,29,30,13,30,-,-,-,-,-9,-148,-153,-173,-176,-184,-9,-2,-4,-3,9,-9,8,9,12,12,12,27,15,-27,-21,-21,-23,-23,-21,8,7,-14,-7,22,13,31,-7,-,-,-,-,-,-,-,\,-,-,\,-,1,-,-,2,2,1
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:IT:4R:F:C:A:A:TO1:A:SI,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,7890,\,\,\,\,\,\,\,\,\,\,\,6929.364,6855.306,6647.658,\,\,5071.218,5444.18,5458.902
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:KR:4R:U:X:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,0.004,0.003,0.002,0.002,1.076,0.001
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:SE:4R:F:I:A:A:TO1:A:SI,\,-,\,-,-,-,-,-,-,-,-,-,-,-,\,-,\,-,-,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1,0,3,1,1,1,\,\,\,\,2.369,\,4.214,3.464
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:JP:4R:U:C:V:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,2,1,1,3,2,2,2,2,2,4,4,4,20,25,22,23,22,21,17,19,13,9,10,14,14,14,8,9,9,8,7,7,6.6,6.6,7.1,6.7
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:BE:4R:F:C:A:A:TO1:A:SI,53,-,32,-,33,-,31,-,25,-,19,-,128,-,156,-,125,-,114,-,134,-,144,-,132,130,173,180,148,188,143,124,115,108,135,387,434,485,567,589,656,681,733,624,706,1502,1140,1205,1253,1515,1545,1704,1928,2348,2644,2674,2300,3041,3623,2666,2427,2390,2188,2102,1648,1877,1185,1296,1075,1023,1056,996,872,851,816,251,244,423,314,221,143,82,137,128,131,114,132,142
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:CH:4R:U:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:AT:4R:F:I:A:A:TO1:A:SI,98,-,125,-,180,-,254,-,331,-,404,-,566,-,587,-,615,-,622,-,760,-,810,-,891,934,956,886,980,988,545,607,634,632,750,755,868,950,1120,1286,1476,1538,1552,1620,1911,1851,5694,6061,5355,4624,5405,6300,6483,5690,5692,6227,7651,8165,5391,5002,4500,4260,4382,6190,7916,7215,6829,7696,7492,8504,8423,7766,7149,7019,6573,6423,6365,5910,5135,5160,5350.993,4795.24,4202.288,2210.736,2237.342,1963.453,1904.753,1533.473
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:5A:4R:F:C:A:A:TO1:A:SI,296,-,349,-,605,-,725,-,981,-,1277,-,1591,-,1842,-,1769,-,1877,-,2038,-,2300,-,2323,2530,2664,2465,3050,3065,3222,3486,4524,4360,5221,5416,6090,6537,7027,7615,9245,8551,8383,9364,10674,11334,15180,16511,15199,16829,18502,18671,20779,25897,27557,32882,40235,46903,44320,41480,39840,38319,39483,41146,38574,36418,33368,36841,35994,38179,40034,37173,33613,32126,30286.102,29840.251,30218.689,28356.676,27316.664,27140.684,26464.755,25824.033,24401.405,20907.695,19644.914,17550.799,17924.29,17599.243
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:IT:4R:F:I:A:A:TO1:A:SI,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1976,\,\,\,\,\,\,\,\,\,\,\,1112.976,1012.525,998.312,\,\,777.424,797.241,797.258
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SI:Slovenia",Q:S:TW:4R:U:C:A:A:TO1:R:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,-,3,3,1,2,3,1,4,18,53,50,48,43,12,12,13,9,9,9,4,3,3,-,-,-,-,-,-,-,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:AU:4R:Q:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,-,-,-,-,-,-0.001,-,-,-,-,-,-,0.001,-,-,-,-0.004,-0.001
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:TW:4R:F:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,-,7,8,13,5,8,16,16,23,22,23,13,12,12,5,6,6,3,3,3,1,11,43,167,157,139,124,76,78,53,44,35,41,32,19,13,3,-,-,-,-,-,-,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","SI:Slovenia",Q:S:AU:4R:U:C:A:A:TO1:B:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SI:Slovenia",Q:S:AU:4R:U:C:A:A:TO1:R:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,-,0.102,0.25,0.538,0.536,0.519,0.538,2.78,2.081,2.095,2.06,2.42,2.369,2.665,2.173
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","SI:Slovenia",Q:S:5A:4R:U:C:A:A:TO1:B:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121,4855,5852,6394,6889,7652,6765,8416,8697,9319,10729,12307,12455,13474,12031,10671,9913,8150,8540,7177,6454,6133,6351,5351,5591,5573,5234,4058,3632,3437,2933,2816,2570,2642,2144,1095.786,938.163,727.353,1033.91,451.433,543.482,436.901,489.858
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:ES:4R:Q:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,1.03,0.857,0.916,1.5
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:TW:4R:U:C:A:A:TO1:A:SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,7,7,5,6,6,3,3,3,1,11,43,167,157,139,124,76,78,54,44,36,41,32,19,13,3,-,-,-,-,-,-,-,-,-,1
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SI:Slovenia",Q:S:GB:4R:F:I:A:A:TO1:A:SI,,,,,,,,,,,79,-,36,-,-,-,-,-,141,-,135,-,77,-,68,73,70,-,63,63,18,19,10,1,3,3,5,5,10,10,9,9,11,81,79,78,161,53,65,76,172,295,303,261,281,226,323,338,521,424,260,215,188,320,312,317,272,98,219,747,737,804,663,658,593,573,707,625,452,402,319,343,491,331,361,439,371,359
