BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Slovakia"
"Country: Slovakia"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:GB:4R:F:C:A:A:TO1:A:SK,,,,,,,14,-,-,-,31,-,48,-,58,-,48,-,64,-,67,-,43,-,23,46,45,46,43,34,18,21,19,20,37,39,37,46,53,86,322,48,36,38,50,66,73,613,271,442,618,623,660,451,915,991,1623,1532,1545,1737,1331,443,515,430,542,526,650,840,736,972,807,3307,931,815,673,334,308,575,564,497,144,175,255,149,142,238,190,167
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:CH:4R:Q:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-60.68,41.553,-119.733,-277.56,-118.002,-346.63,-286.081,-428.899
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:JP:4R:Q:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,-96,-,-101,-85,-98,-85,-73,-83,-94,-94,-63,-57,-58,-55,-51,-19,-40,-41,-42,-24,-25,-20,-15,-23,-35,-35,-32,-31,-20,-20,-20,-24,-21,-35,-49,-12,-12,-72,-161,-86,-79,-74,-89,-73,-98,-28,-393,-435,-354,-348,-173,-177,-155,-143,-130,-122,-160,-217,-208.8,-176.1,-164.7,-166.1,-202.5,-138.7,-186.6,-186.8
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:5A:4R:F:C:A:A:TO1:A:SK,212,-,251,-,386,-,766,-,1155,-,1623,-,2500,-,3694,-,4909,-,5826,-,5282,-,4445,-,5827,6174,5963,5390,5205,5289,6223,6277,6764,7000,11298,12056,13491,13846,15101,15173,17530,17870,19230,20701,23988,27282,38553,38823,37041,42475,43448,40937,47830,57296,59920,60994,76694,81816,89376,86504,89366,64520,70248,70664,71060,67231,65909,70086,67003,74988,75302,75012,69304,74209,72196.289,75081.3,76011.28,74460.246,77410.201,78826.17,77991.193,81626.363,79738.911,75809.476,73146.617,66766.513,69597.747,71673.718
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SK:Slovakia",Q:S:DE:4R:U:C:A:A:TO1:R:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,893,1142,1217,1268,942,814,735,693
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:AT:4R:F:I:A:A:TO1:A:SK,108,-,96,-,110,-,211,-,336,-,439,-,833,-,945,-,984,-,960,-,804,-,621,-,510,605,580,494,536,590,685,590,674,731,925,835,983,1364,1121,1209,1720,1489,1797,2115,2591,3267,7035,6685,4013,4040,4425,5557,4574,5478,7780,5906,7265,8519,7799,8209,9358,3798,4109,4554,4577,4883,4127,4636,4752,6547,6408,5877,4710,5255,5404,5707,5949,5738,6062,6254,6252.932,6049.791,6832.944,5774.261,5653.949,5605.986,5985.221,5588.532
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:FI:4R:F:I:A:A:TO1:A:SK,0,-,1,-,0,-,0,-,0,-,2,-,3,-,0,-,0,-,0,-,2,-,8,-,9,6,5,5,5,4,4,3,3,2,4,0,1,0,0,0,0,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,0,\,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:KR:4R:U:X:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.081,29.566,29.239,26.958,30.077,26.572,8.414,6.1
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:BE:4R:Q:C:A:A:TO1:A:SK,,,,,,,,,,,,,,,,,,,,,,,-24,-,-39,-14,-24,-24,-14,-12,-11,-20,-19,-19,-13,-17,-23,-21,-31,-15,-25,-72,-7,-1,-32,-191,-82,-4,-3,-6,-28,9,200,196,168,198,198,223,216,230,187,179,134,-61,5,-1,\,\,99,101,\,\,\,-,-,-,\,-,-,35,37,44,30,28,6,5,-6,-7
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SK:Slovakia",Q:S:SE:4R:F:I:A:A:TO1:A:SK,\,-,\,-,\,-,\,-,\,-,-,-,-,-,\,-,\,-,\,-,\,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,109,108,97,89,90,86,\,\,\,\,51.929,\,50.347,44.046
