BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in El Salvador"
"Country: El Salvador"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:BE:4R:F:C:A:A:TO1:A:SV,,,,,,,,,,,,,,,,,,,,,,,2,-,7,-,7,-,7,-,6,-,7,-,6,-,6,-,7,-,19,-,16,-,19,-,10,-,10,-,11,-,10,-,10,-,9,-,8,-,8,-,8,-,8,-,-,-,-,-,-,-,138,138,138,138,138,138,137,137,134,134,130,130,126,126,125,125,119,10,13,8,9,-,-,329,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1
"Q:Quarterly","S:Amounts outstanding / Stocks","SE:Sweden","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:SE:4R:F:I:A:A:TO1:A:SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,-,\,-,\,-,\,-,\,-,\,-,-,-,\,-,\,-,-,-,\,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,2,2,2,2,2,2,\,\,\,\,1.073,\,0.856,0.769
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","SV:El Salvador",Q:S:FR:4R:U:C:A:A:TO1:F:SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,3
"Q:Quarterly","S:Amounts outstanding / Stocks","AT:Austria","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:AT:4R:F:I:A:A:TO1:A:SV,,,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4,-,4,-,4,-,3,-,3,-,6,-,9,9,8,8,7,8,5,4,4,3,3,3,2,3,2,8,9,9,9,-,-,-,0,0,0,-,-,-,-,-,-,-,-,\,\,\,\,\,\,\,\,\,\,\,\,\,1,\,\,\,\,\,\,-,-,\
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:5A:4O:F:I:A:U:TO1:A:SV,120,-,77,-,173,-,155,-,90,-,108,-,101,-,87,-,151,-,106,-,136,-,178,-,134,-,125,-,162,-,106,-,86,-,74,-,74,-,106,-,88,-,193,-,168,-,295,-,517,-,559,-,599,-,652,-,804,-,809,-,846,-,1214,-,1072,1007,877,905,1148,1304,1293,1290,1216,1213,1254,1256,1060,1113,1211,1220,1163,1289,1273,1258,1430,1014,1147,1357,1725,1326,1033,1182,1125,966,917,1018,1101,1095,1241,1269,1131,1509,1953,1793,2090,1671,1868,1545,1966,2274,2036,1853,1717,1777,1760.013,2015.036,2090.007,1964.008,2048.011,2090.258,2436.651,2457.788,2767.176,2615.487,2776.607,2745.884,2793.528,2722.959
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:5A:4R:F:I:A:U:TO1:A:SV,115,-,72,-,168,-,152,-,84,-,106,-,85,-,86,-,135,-,92,-,135,-,158,-,134,-,123,-,159,-,104,-,85,-,69,-,71,-,100,-,80,-,171,-,152,-,270,-,487,-,552,-,592,-,643,-,771,-,770,-,807,-,1174,-,1035,985,842,879,1084,1253,1229,1225,1142,1157,1187,1215,989,1012,1122,1115,1059,1173,1113,1148,1329,901,1055,1255,1626,1247,967,1096,983,890,826,841,913,980,1051,1090,935,1335,1797,1638,1971,1553,1760,1480,1889,2164,1942,1764,1630,1696,1685.013,1758.036,1906.007,1863.008,1938.011,1975.258,2320.523,2347.671,2663.053,2412.379,2548.378,2502.665,2548.425,2476.956
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","SV:El Salvador",Q:S:AU:4R:U:C:A:A:TO1:B:SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,3,6,1
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:TW:4R:F:C:A:A:TO1:A:SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,4,\,\,\,\,\,\,\,\,\,\,\,2,1
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","SV:El Salvador",Q:S:TW:4R:U:C:A:A:TO1:R:SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-,\,-,-,-,-,-,-,-,-,\,\,5
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","SV:El Salvador",Q:S:5A:4R:F:C:A:A:TO1:A:SV,199,-,201,-,255,-,222,-,206,-,211,-,153,-,199,-,199,-,144,-,194,-,213,-,218,-,211,-,325,-,239,-,221,-,215,-,213,-,242,-,249,-,317,-,298,-,368,-,625,-,742,-,828,-,993,-,1470,-,1493,-,1570,-,1826,-,1877,1891,1827,1821,2063,1933,1976,1989,2070,2171,2253,2260,2048,2002,2105,2154,2095,2189,2098,2185,2282,2121,3032,3061,3683,3056,2992,3064,4790,5211,7502,7943,7577,7805,7771,7984,7761,7489,7233,7132,6945,6437,6195,6177,6683,7221,7104,6820,6826,7061,6922.013,6994.036,5561.007,5577.008,5694.011,5858.258,6041.766,6155.718,6015.834,5834.211,5469.209,5490.923,5475.082,5540.868
