BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Thailand"
"Country: Thailand"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:5A:4R:U:C:A:A:TO1:A:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31270,31276,31320,32762,39887,39334,40195,41720,44869,42451,45907,44891,49633,46218,45648,46517,45595,47784,52110,56717,60290,61558,70245,73429,82696,84376,83497,75696,85471,83912.626,89280.574,93403.442,102295.175,103293.463,98062.072,124790.695,126680.834,127503.078,125203.088,122862.28,120598.701,118843.261,113832.324
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","TH:Thailand",Q:S:IT:4R:U:C:A:A:TO1:R:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,36,\,\,\,\,\,\,\,\,\,\,\,13.488,13.038,13.334,35.873,9.281,16.581,19.495,20.975
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","O:Official sector","TH:Thailand",Q:S:5A:4R:U:C:A:A:TO1:O:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314,5006,4605,4753,9447,9369,8522,8442,8809,7816,10080,8524,9898,7337,8628,8667,10251,10084,11693,13685,15026,16769,19153,22198,24809,32351,31405,25937,31366,26923.816,29159.739,31899.071,37501.102,33005.131,30055.235,30671.239,31487.481,29800.336,28432.897,28049.466,28136.876,25758.295,23590.901
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:BE:4R:F:I:A:U:TO1:A:TH,14,-,17,-,32,-,32,-,40,-,68,-,51,-,44,-,83,-,122,-,94,-,83,-,91,-,108,-,177,-,217,-,208,-,233,-,241,-,325,-,319,-,348,-,549,-,552,-,680,-,667,-,716,-,668,-,464,-,337,-,248,-,263,-,210,188,194,188,96,133,54,57,59,49,56,69,45,30,30,35,42,75,33,37,46,49,25,27,33,8,20,19,40,45,53,50,53,34,32,27,152,186,172,173,179,183,176,176,16,21,21,19,17,15,15,11,8,6,4,4,7,20,27,17,7,21,35,49
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:ES:4R:Q:C:A:A:TO1:A:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,\,\,\,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,-3.499,-3.503,-5.613,-5.251
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:IT:4R:U:C:A:A:TO1:A:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,47,\,\,\,\,\,\,\,\,\,\,\,22.404,25.756,22.914,53.287,18.883,21.645,27.823,31.255
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","TH:Thailand",Q:S:GB:4R:U:C:A:A:TO1:R:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4650,3788,3707,3624,4175,4091,4656,4638,4793,4841,4725,4832,6259,5298,5692,6576,5741,5681,6687,6886,6479,6595,8148,7239,7746,7256,7042,7545,7175,6678,6125,7117,6904,7802,8367,7195,6616,6697,6809,6537,6677,6853,6392
"Q:Quarterly","S:Amounts outstanding / Stocks","CH:Switzerland","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:CH:4R:U:C:V:A:TO1:A:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,130.409,54.382,46.58,72.173,68.199,55.226,44.391,53.852
"Q:Quarterly","S:Amounts outstanding / Stocks","DE:Germany","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","TH:Thailand",Q:S:DE:4R:Q:C:A:A:TO1:A:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32,-,-17,-214,-718,-647,-662,-507,-476,-579,-598,-917,-728,-652,-398,-720,-833,-833,-860,-943,-1000,-1105,-1207,-1295,-1013,-1169,-964,-1204,-1189,-1863,-1486,-1331,-1457,-967,-1047,-1682,-1398,-717,-859,-888,-1622,-2812,-2788,-4066,-3618,-7213,-4678,-2650,-1610,-496,-1116,-1019,-1028,131,604,611,1606,1106,1904,2650,797,560,2016,332,-13,-377
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","TH:Thailand",Q:S:FR:4R:U:C:A:A:TO1:F:TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,-,-,\,\,-,45
