BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in United States"
"Country: United States"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","U:Up to and including 1 year","TO1:All currencies","A:All sectors","US:United States",Q:S:TW:4R:F:I:A:U:TO1:A:US,,,,,,,,,,,,,10247,10390,13067,13062,15631,15618,15177,13730,17207,14558,17859,20597,20808,20473,18437,18998,23660,22476,25996,26864,28112,27740,29561,33355,34812,33022,31155,36315,36559,35034,34043,31820,29794,29585,30534,30656,30893,32150,29644,28816,29044,28098,29311,27011,28077,28780,23518,22839,24319,22547,20422,19834,21004,22110,22653,22173,22117,21485,19967,20515
"Q:Quarterly","S:Amounts outstanding / Stocks","KR:South Korea","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:KR:4R:F:C:A:A:TO1:A:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14882,15827,17456,19253,18174,16190,17351,20713,21994.459,18755.832,19654.082,17598.683,22655.015,20590.526,23030.584,25708.889
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","US:United States",Q:S:FR:4R:F:B:A:A:LC1:A:US,,,,,,,59266,-,54865,52921,54109,65819,66112,66210,74504,44213,54230,56553,122908,150681,140986,160577,166215,159319,200472,220893,230312,225022,232083,269839,281384,275363,274640,349156,372191,409623,422849,479865,511176,504984,493249,561776,554166,559234,584712,507145,526055,474500,430919,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,358241
"Q:Quarterly","S:Amounts outstanding / Stocks","IE:Ireland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:IE:4R:F:I:A:A:TO1:A:US,,,,,,,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,30508,32627,45679,44276,48636,49983,60541,64661,101282,99178,87239,87557,84199,81924,81074,76142,74664,75761,75551,45218,38765,35389,31212,7798,6797,6358,5813,5331,3906,4596,4433,4275.348,3199.242,4164.298,4422.132,4530.23,4612.689,4817.421,4726.23
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:FR:4R:U:C:A:A:TO1:A:US,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,406435,435915,426766,418055,488538,519186,551668,679166,681963,736395,712186,695565,834606,775530,774054,766345,674336,690384,607850,570056,573296,549385,571778,529732,596882,593190,570408,536873,513139,471605,394763,402553,430028,535595,537039,575887,604284,612138,571680,549795,516463,486804,489349
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:CA:4R:U:C:V:A:TO1:A:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,19515,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,41307.487,41524.229,33970.452,42420.032
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","F:Non-bank financial institutions","US:United States",Q:S:IT:4R:U:C:A:A:TO1:F:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8403.502,7229.625,6402.37,6406.368,8273.107,7780.496,8429.787,8887.905
"Q:Quarterly","S:Amounts outstanding / Stocks","TW:Chinese Taipei","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:TW:4R:F:I:A:A:TO1:A:US,,,,,,,,,,,,,11894,12159,14856,15084,17932,17951,17438,16091,19808,17292,20650,23537,23620,23643,21592,22032,26970,25772,29710,31547,33270,33555,35740,39577,41810,40955,39714,45324,45719,45117,44340,41576,38409,38534,39039,39033,40300,41717,39225,39246,38714,37877,37837,35021,36566,37928,32667,29202,29538,29677,27857,26835,26427,29536,30446,30540,30298,33009,33128,33564
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","US:United States",Q:S:FR:4R:U:C:A:A:TO1:B:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151380,181408,177214,162823,204079,214874,255147,341497,333351,357456,308000,284252,406940,367294,351981,290069,258866,256804,201053,170208,\,\,\,111282,122129,101086,94351,59173,58624,52854,39337,31035,32805,38462,71243,38082,54933,57637,53201,54675,65213,65638,73354
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","US:United States",Q:S:JP:4R:U:C:A:A:TO1:A:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,534627,574108,653051,720922,690540,707768,743398,771897,764488,789044,810570,844169,892744,865604,842308,911642,911989,943436,956755,946720,960084,990153,1082706,1073998,1130794,1125987,1198613,1210632,1241202,1280733,1294559,1295232,1267861,1201388,1250340,1284019.2,1314979.7,1288969,1272300.6,1305251.2,1402606.4,1367116,1419209.9
