BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Uzbekistan"
"Country: Uzbekistan"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:FR:4R:U:C:A:A:TO1:A:UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,20,29,30,22,22,25,17,20,18,16,19,27,29,18,5,14,5,5,3,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3
"Q:Quarterly","S:Amounts outstanding / Stocks","CA:Canada","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","V:Derivatives","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:CA:4R:U:C:V:A:TO1:A:UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,-,-,-,\,\,\,\,\,19,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","UZ:Uzbekistan",Q:S:FR:4R:U:C:A:A:TO1:B:UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,10,8,7,8,15,12,13,11,9,13,18,5,13,4,11,4,4,3,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:FI:4R:F:C:A:A:TO1:A:UZ,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,1,7,8,8,8,8,8,8,0,-,0,0,-,\,-,\,\,\,-,-,-,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4O:All excluding 4C banks, excl. domestic positions (=4R+4Q+4V)","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:5A:4O:F:I:A:A:TO1:A:UZ,108,-,145,-,220,-,380,-,358,-,378,-,459,-,485,-,851,-,897,-,1169,-,1511,-,1741,1752,1704,1566,1787,1719,1735,1805,1782,1719,1786,1437,1470,1390,1459,1497,1601,1728,1637,1373,1475,1381,1273,1195,1120,1051,1037,988,950,849,855,796,788,777,745,863,639,683,664,671,676,674,608,619,628,645,633,696,934,907,911.758,904.047,868,790.799,893.198,874.403,999.113,1187.781,1224.344,1666.984,1761.397,2257.567,2354.927,2592.563
"Q:Quarterly","S:Amounts outstanding / Stocks","FR:France","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","UZ:Uzbekistan",Q:S:FR:4R:F:B:A:A:LC1:A:UZ,,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,5,-,0,-,0,0,0,0,0,0,0,14,13,12,14,13,14,13,0,-,-,-,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0,0,\,\,\,-,\,\,\,\,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:US:4R:F:C:A:A:TO1:A:UZ,,,4,-,9,-,27,-,54,-,121,-,157,-,157,-,521,-,523,-,414,-,594,-,514,528,519,510,497,499,496,477,462,413,411,91,85,75,76,63,45,40,50,47,36,39,48,30,28,5,4,21,11,11,32,12,35,29,14,5,22,6,12,-,-,20,18,7,8,3,3,40,70,43,45,83,58,36,13,-,77,50,42,90,51,99,58,30
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:AU:4R:U:C:A:A:TO1:A:UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,11.758,7.047,-,3.799,4.198,4.403,3.878,3.43,2.633,2.756,2.989,2.387,0.003,\
"Q:Quarterly","S:Amounts outstanding / Stocks","US:United States","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:US:4R:Q:C:A:A:TO1:A:UZ,,,,,,,,,,,,,,,,,,,,,,,-589,-,-506,-503,-498,-489,-485,-488,-494,-475,-435,-412,-410,-89,-84,-75,-75,-63,-45,-39,-41,-47,-36,-33,-37,-29,-28,-4,-4,-6,-4,-9,-6,-3,-6,-11,-3,-,-,-,-8,-,-,-10,-16,-,-3,-,-,-20,-35,-14,-9,-37,-21,-22,-6,-,-31,-25,-20,-45,-28,-54,-31,-15
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","UZ:Uzbekistan",Q:S:FI:4R:Q:C:A:A:TO1:A:UZ,,,,,,,,,,,,,,,,,,,,,,,0,-,-,-,-,-,-1,-7,-8,-8,-8,-8,-8,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
