BIS Statistics Explorer
"Table B4: Consolidated positions on counterparties resident in Venezuela"
"Country: Venezuela"
Dataset: Consolidated banking statistics(CBS_PUB)
Unit: USD millions
Data updated: 19/01/2016 12:15
"Frequency","Measure","Reporting country","CBS bank type","CBS reporting basis","Balance sheet position","Type of instruments","Remaining maturity","Currency type of booking location","Counterparty sector","Counterparty country","Period",31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","B:Local claims","A:All instruments","A:All maturities","LC1:Local currency","A:All sectors","VE:Venezuela",Q:S:5A:4R:F:B:A:A:LC1:A:VE,84,-,72,-,100,-,82,-,91,-,74,-,342,-,141,-,117,-,109,-,26,-,123,-,250,-,153,-,226,-,209,-,235,-,227,-,212,-,262,-,219,-,119,-,292,-,366,-,350,-,266,-,367,-,3907,-,6850,-,6411,-,6255,-,5214,-,6682,6129,6338,6347,9982,8914,9080,8776,9590,6764,4635,4759,5292,4807,5615,6282,7319,6549,7043,7216,9389,9135,10218,10217,11533,12092,12845,14457,18619,18628,19369,20151,22021,21822,21188,23103,25590,26520,27651,15571,16847,9262,10266,10546,11616,12148,13329,14644,16667,18271,19689,21766,26774,19448,21643,24614,31281,20079.68,21517.951,20932.578,25621.234,2830.453,2800.713,3168.583
"Q:Quarterly","S:Amounts outstanding / Stocks","JP:Japan","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:JP:4R:U:C:A:A:TO1:A:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,305,641,1070,1190,1194,1229,1264,1182,1365,1438,1356,1195,1109,969,778,684,652,727,716,789,732,845,975,836,888,858,962,1290,1083,724,769,577,477,437,332.3,282,303.6,255.8,164.6,125.9,117.2,111.9
"Q:Quarterly","S:Amounts outstanding / Stocks","GB:United Kingdom","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","X:Credit commitments","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:GB:4R:U:X:A:A:TO1:A:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,79,32,77,76,50,73,84,84,140,71,82,115,115,107,24,305,124,152,74,152,206,191,63,93,128,109,74,11,8,2,3,3,6,6,3,3,2,2,2,13
"Q:Quarterly","S:Amounts outstanding / Stocks","AU:Australia","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","W:Guarantees extended","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:AU:4R:U:W:A:A:TO1:A:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
"Q:Quarterly","S:Amounts outstanding / Stocks","5A:All reporting countries","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","R:Non-bank private sector","VE:Venezuela",Q:S:5A:4R:U:C:A:A:TO1:R:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3257,6984,7038,7798,8176,9028,9671,11835,13175,14784,15885,17581,17827,17862,18677,18127,17447,18734,11835,12545,7788,8730,9237,9782,10682,11534,12199,13282,13881,14973.186,16405.738,17836.328,13200.317,14492.133,15995.912,18421.061,13111.055,14536.255,14829.069,16215.92,3876.349,4489.619,4673.79
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:FI:4R:F:C:A:A:TO1:A:VE,,,,,,,,,15,-,21,-,14,-,16,-,14,-,8,-,13,-,15,-,13,-,13,-,4,-,5,-,5,-,5,-,5,-,5,-,5,-,5,-,4,-,4,-,4,-,4,-,4,-,4,-,3,-,3,-,7,-,16,-,31,36,44,46,47,49,25,43,45,46,47,48,49,50,51,50,16,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","BE:Belgium","4R:Domestic banks (4B), excl. domestic positions","F:Immediate counterparty basis","I:International claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:BE:4R:F:I:A:A:TO1:A:VE,119,-,122,-,202,-,181,-,203,-,183,-,186,-,184,-,187,-,170,-,171,-,196,-,201,-,231,-,178,-,181,-,160,-,183,-,202,-,177,-,203,-,204,-,170,-,160,-,194,-,183,-,172,-,163,-,85,-,134,-,146,-,196,-,295,285,280,282,262,284,269,266,235,236,248,311,317,312,280,280,268,279,262,260,266,265,252,261,242,158,142,138,140,155,169,198,218,218,264,240,184,179,149,134,21,19,19,19
"Q:Quarterly","S:Amounts outstanding / Stocks","FI:Finland","4R:Domestic banks (4B), excl. domestic positions","Q:Net risk transfers (Inward - Outward)","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","A:All sectors","VE:Venezuela",Q:S:FI:4R:Q:C:A:A:TO1:A:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,-,-22,-32,-40,-41,-42,-43,-19,-21,-23,-25,-4,-7,-5,-5,-8,-8,-1,\,\,\,\,\,\,\,\,\,\,\,\,\,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
"Q:Quarterly","S:Amounts outstanding / Stocks","IT:Italy","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","VE:Venezuela",Q:S:IT:4R:U:C:A:A:TO1:B:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,-,-,\,-,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,10,\,\,\,\,-,-,\,\,\,\,-,0.347,0.432,0.346,\,0.314,0.323,0.05,0.05
"Q:Quarterly","S:Amounts outstanding / Stocks","ES:Spain","4R:Domestic banks (4B), excl. domestic positions","U:Ultimate risk basis","C:Total claims","A:All instruments","A:All maturities","TO1:All currencies","B:Banks, total","VE:Venezuela",Q:S:ES:4R:U:C:A:A:TO1:B:VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,125.324,38.146
